Time,Y
1,4.72
2,4.77
3,4.88
4,4.86
5,4.8
6,4.91
7,5
8,5
9,4.91
10,4.78
11,4.64
12,4.77
13,4.74
14,4.84
15,4.95
16,4.91
17,4.83
18,5
19,5.14
20,5.14
21,5.06
22,4.89
23,4.74
24,4.94
25,4.98
26,5.01
27,5.18
28,5.09
29,5.15
30,5.18
31,5.29
32,5.29
33,5.21
34,5.09
35,4.98
36,5.11
37,5.14
38,5.19
39,5.26
40,5.2
41,5.21
42,5.38
43,5.44
44,5.49
45,5.34
46,5.25
47,5.25
48,5.27
49,5.28
50,5.28
51,5.46
52,5.46
53,5.43
54,5.49
55,5.58
56,5.61
57,5.47
58,5.35
59,5.19
60,5.3
61,5.32
62,5.24
63,5.46
64,5.42
65,5.46
66,5.58
67,5.71
68,5.68
69,5.56
70,5.43
71,5.31
72,5.43
73,5.49
74,5.45
75,5.59
76,5.59
77,5.6
78,5.75
79,5.9
80,5.85
81,5.74
82,5.61
83,5.47
84,5.63
85,5.65
86,5.62
87,5.76
88,5.75
89,5.76
90,5.92
91,6.02
92,6
93,5.87
94,5.72
95,5.6
96,5.72
97,5.75
98,5.71
99,5.87
100,5.85
101,5.87
102,6.05
103,6.14
104,6.15
105,6
106,5.85
107,5.72
108,5.82
109,5.83
110,5.76
111,5.89
112,5.85
113,5.89
114,6.08
115,6.2
116,6.22
117,6
118,5.88
119,5.74
120,5.82
