Time,Sales,Adv
2,232.91,3.14
3,272.07,6.16
4,290.97,-1.19
5,299.09,-2.20
6,296.95,-1.91
7,279.49,2.80
8,255.75,4.75
9,242.78,-6.80
10,255.34,-3.19
11,271.58,3.81
12,268.27,4.73
13,260.51,3.31
14,266.34,-7.20
15,281.24,-1.01
16,286.19,5.60
17,271.97,5.11
18,265.01,-1.49
19,274.44,-7.96
20,291.81,-5.75
21,290.91,-7.68
22,264.95,4.87
23,228.4,9.38
24,209.33,6.61
25,231.69,2.84
26,281.56,1.08
27,327.16,-4.50
28,344.24,0.30
29,324.74,3.37
30,289.36,1.74
31,262.92,-4.27
32,263.65,-7.41
33,276.38,-5.02
34,276.34,3.65
35,258.27,6.64
36,242.89,-1.66
37,255.98,-12.54
38,278.53,-1.29
39,273.21,-1.75
40,246.37,0.22
41,221.1,2.35
42,210.41,0.24
43,222.19,0.71
44,245.27,9.25
45,262.58,8.41
46,283.25,1.95
47,311.12,-1.36
48,326.29,-5.28
49,322.04,1.97
50,295.37,-1.62
51,266.69,-4.45
52,253.07,-1.45
53,249.12,0.40
54,253.59,6.43
55,262.13,0.49
56,279.66,-1.99
57,302.92,6.51
58,310.77,6.32
59,307.83,-6.97
60,313.19,1.81
61,312.8,-4.52
62,301.23,-12.28
63,286.64,1.69
64,257.17,0.01
65,229.6,-3.26
66,227.62,0.47
67,238.21,4.13
68,252.07,6.50
69,269.86,6.60
70,291.62,-5.86
71,314.06,-7.30
72,318.56,3.80
73,289.11,1.37
74,255.88,4.76
75,249.81,-5.13
76,268.82,-10.24
77,288.24,-3.47
78,281.26,-3.19
79,250.92,0.85
80,222.26,-3.07
81,209.94,-13.72
82,213.3,-3.79
83,207.19,-1.10
84,186.13,-2.06
85,171.2,2.62
86,170.33,7.25
87,183.69,10.84
88,211.3,3.00
89,252.66,-7.69
90,286.2,-5.10
