Time,Sales,Adv
1,53.8,-0.109
2,53.6,0
3,53.5,0.178
4,53.5,0.339
5,53.4,0.373
6,53.1,0.441
7,52.7,0.461
8,52.4,0.348
9,52.2,0.127
10,52,-0.18
11,52,-0.588
12,52.4,-1.055
13,53,-1.421
14,54,-1.52
15,54.9,-1.302
16,56,-0.814
17,56.8,-0.475
18,56.8,-0.193
19,56.4,0.088
20,55.7,0.435
21,55,0.771
22,54.3,0.866
23,53.2,0.875
24,52.3,0.891
25,51.6,0.987
26,51.2,1.263
27,50.8,1.775
28,50.5,1.976
29,50,1.934
30,49.2,1.866
31,48.4,1.832
32,47.9,1.767
33,47.6,1.608
34,47.5,1.265
35,47.5,0.79
36,47.6,0.36
37,48.1,0.115
38,49,0.088
39,50,0.331
40,51.1,0.645
41,51.8,0.96
42,51.9,1.409
43,51.7,2.67
44,51.2,2.834
45,50,2.812
46,48.3,2.483
47,47,1.929
48,45.8,1.485
49,45.6,1.214
50,46,1.239
51,46.9,1.608
52,47.8,1.905
53,48.2,2.023
54,48.3,1.815
55,47.9,0.535
56,47.2,0.122
57,47.2,0.009
58,48.1,0.164
59,49.4,0.671
60,50.6,1.019
61,51.5,1.146
62,51.6,1.155
63,51.2,1.112
64,50.5,1.121
65,50.1,1.223
66,49.8,1.257
67,49.6,1.157
68,49.4,0.913
69,49.3,0.62
70,49.2,0.255
71,49.3,-0.28
72,49.7,-1.08
73,50.3,-1.551
74,51.3,-1.799
75,52.8,-1.825
76,54.4,-1.456
77,56,-0.944
78,56.9,-0.57
79,57.5,-0.431
80,57.3,-0.577
81,56.6,-0.96
82,56,-1.616
83,55.4,-1.875
84,55.4,-1.891
85,56.4,-1.746
86,57.2,-1.474
87,58,-1.201
88,58.4,-0.927
89,58.4,-0.524
90,58.1,0.04
91,57.7,0.788
92,57,0.943
93,56,0.93
94,54.7,1.006
95,53.2,1.137
96,52.1,1.198
97,51.6,1.054
98,51,0.595
99,50.5,-0.08
100,50.4,-0.314
101,51,-0.288
102,51.8,-0.153
103,52.4,-0.109
104,53,-0.187
105,53.4,-0.255
106,53.6,-0.229
107,53.7,-0.007
108,53.8,0.254
109,53.8,0.33
110,53.8,0.102
111,53.3,-0.423
112,53,-1.139
113,52.9,-2.275
114,53.4,-2.594
115,54.6,-2.716
116,56.4,-2.51
117,58,-1.79
118,59.4,-1.346
119,60.2,-1.081
120,60,-0.91
121,59.4,-0.876
122,58.4,-0.885
123,57.6,-0.8
124,56.9,-0.544
125,56.4,-0.416
126,56,-0.271
127,55.7,0
128,55.3,0.403
129,55,0.841
130,54.4,1.285
131,53.7,1.607
132,52.8,1.746
133,51.6,1.683
134,50.6,1.485
135,49.4,0.993
136,48.8,0.648
137,48.5,0.577
138,48.7,0.577
139,49.2,0.632
140,49.8,0.747
141,50.4,0.9
142,50.7,0.993
143,50.9,0.968
144,50.7,0.79
145,50.5,0.399
146,50.4,-0.161
147,50.2,-0.553
148,50.4,-0.603
149,51.2,-0.424
150,52.3,-0.194
151,53.2,-0.049
152,53.9,0.06
153,54.1,0.161
154,54,0.301
155,53.6,0.517
156,53.2,0.566
157,53,0.56
158,52.8,0.573
159,52.3,0.592
160,51.9,0.671
161,51.6,0.933
162,51.6,1.337
163,51.4,1.46
164,51.2,1.353
165,50.7,0.772
166,50,0.218
167,49.4,-0.237
168,49.3,-0.714
169,49.7,-1.099
170,50.6,-1.269
171,51.8,-1.175
172,53,-0.676
173,54,0.033
174,55.3,0.556
175,55.9,0.643
176,55.9,0.484
177,54.6,0.109
178,53.5,-0.31
179,52.4,-0.697
180,52.1,-1.047
181,52.3,-1.218
182,53,-1.183
183,53.8,-0.873
184,54.6,-0.336
185,55.4,0.063
186,55.9,0.084
187,55.9,0
188,55.2,0.001
189,54.4,0.209
190,53.7,0.556
191,53.6,0.782
192,53.6,0.858
193,53.2,0.918
194,52.5,0.862
195,52,0.416
196,51.4,-0.336
197,51,-0.959
198,50.9,-1.813
199,52.4,-2.378
200,53.5,-2.499
201,55.6,-2.473
202,58,-2.33
203,59.5,-2.053
204,60,-1.739
205,60.4,-1.261
206,60.5,-0.569
207,60.2,-0.137
208,59.7,-0.024
209,59,-0.05
210,57.6,-0.135
211,56.4,-0.276
212,55.2,-0.534
213,54.5,-0.871
214,54.1,-1.243
215,54.1,-1.439
216,54.4,-1.422
217,55.5,-1.175
218,56.2,-0.813
219,57,-0.634
220,57.3,-0.582
221,57.4,-0.625
222,57,-0.713
223,56.4,-0.848
224,55.9,-1.039
225,55.5,-1.346
226,55.3,-1.628
227,55.2,-1.619
228,55.4,-1.149
229,56,-0.488
230,56.5,-0.16
231,57.1,-0.007
232,57.3,-0.092
233,56.8,-0.62
234,55.6,-1.086
235,55,-1.525
236,54.1,-1.858
237,54.3,-2.029
238,55.3,-2.024
239,56.4,-1.961
240,57.2,-1.952
241,57.8,-1.794
242,58.3,-1.302
243,58.6,-1.03
244,58.8,-0.918
245,58.8,-0.798
246,58.6,-0.867
247,58,-1.047
248,57.4,-1.123
249,57,-0.876
250,56.4,-0.395
251,56.3,0.185
252,56.4,0.662
253,56.4,0.709
254,56,0.605
255,55.2,0.501
256,54,0.603
257,53,0.943
258,52,1.223
259,51.6,1.249
260,51.6,0.824
261,51.1,0.102
262,50.4,0.025
263,50,0.382
264,50,0.922
265,52,1.032
266,54,0.866
267,55.1,0.527
268,54.5,0.093
269,52.8,-0.458
270,51.4,-0.748
271,50.8,-0.947
272,51.2,-1.029
273,52,-0.928
274,52.8,-0.645
275,53.8,-0.424
276,54.5,-0.276
277,54.9,-0.158
278,54.9,-0.033
279,54.8,0.102
280,54.4,0.251
281,53.7,0.28
282,53.3,0
283,52.8,-0.493
284,52.6,-0.759
285,52.6,-0.824
286,53,-0.74
287,54.3,-0.528
288,56,-0.204
289,57,0.034
290,58,0.204
291,58.6,0.253
292,58.5,0.195
293,58.3,0.131
294,57.8,0.017
295,57.3,-0.182
296,57,-0.262
