Time,Y
1,4.73
2,4.7
3,4.74
4,4.9
5,4.83
6,5.01
7,5.19
8,5.19
9,4.92
10,4.83
11,4.68
12,4.8
13,4.77
14,4.7
15,4.79
16,4.95
17,4.89
18,5.07
19,5.21
20,5.25
21,4.95
22,4.92
23,4.72
24,4.86
25,4.85
26,4.78
27,4.8
28,5
29,4.95
30,5.11
31,5.27
32,5.28
33,4.97
34,4.96
35,4.8
36,4.93
37,4.9
38,4.83
39,4.88
40,5.05
41,4.98
42,5.14
43,5.29
44,5.37
45,5.04
46,5.04
47,4.84
48,4.96
49,4.92
50,4.85
51,4.9
52,5.08
53,5.06
54,5.18
55,5.36
56,5.38
57,5.05
58,5.07
59,4.92
60,5.04
61,5
62,4.85
63,4.95
64,5.06
65,5.11
66,5.25
67,5.44
68,5.45
69,5.15
70,5.11
71,4.9
72,5.06
73,5.04
74,4.93
75,4.98
76,5.12
77,5.1
78,5.27
79,5.49
80,5.53
81,5.17
82,5.16
83,4.95
84,5.1
85,5.04
86,4.95
87,4.95
88,5.16
89,5.15
90,5.35
91,5.52
92,5.6
93,5.22
94,5.21
95,4.99
96,5.14
97,5.08
98,5
99,5.05
100,5.22
101,5.2
102,5.36
103,5.53
104,5.61
105,5.29
106,5.25
107,5.04
108,5.19
109,5.13
110,5.05
111,5.06
112,5.21
113,5.23
114,5.38
115,5.62
116,5.68
117,5.33
118,5.31
119,5.13
120,5.26
121,5.19
122,5.06
123,5.06
124,5.25
125,5.26
126,5.45
127,5.72
128,5.68
129,5.34
130,5.3
131,5.13
132,5.29
133,5.25
134,5.16
135,5.17
136,5.3
137,5.31
138,5.47
139,5.69
140,5.73
141,5.34
142,5.35
143,5.17
144,5.32
145,5.23
146,5.2
147,5.23
148,5.36
149,5.3
150,5.53
151,5.73
152,5.79
153,5.38
154,5.42
155,5.17
156,5.34
157,5.34
158,5.2
159,5.22
160,5.39
161,5.37
162,5.53
163,5.77
164,5.79
165,5.43
166,5.42
167,5.25
168,5.44
